timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723892731201,478,POST method Create User,200,OK,Load Configuration 1-26,text,true,,866,243,7,7,https://reqres.in/api/login,478,0,0
1723892731250,430,POST method Create User,200,OK,Load Configuration 1-27,text,true,,866,243,7,7,https://reqres.in/api/login,430,0,0
1723892731481,294,Get Single User,200,OK,Load Configuration 1-31,text,true,,1979,244,6,6,https://reqres.in/api/users/2,70,0,22
1723892731481,70,Get Single User-0,301,Moved Permanently,Load Configuration 1-31,text,true,,789,122,6,6,http://reqres.in/api/users/2,70,0,22
1723892731551,224,Get Single User-1,200,OK,Load Configuration 1-31,text,true,,1190,122,6,6,https://reqres.in/api/users/2,224,0,184
1723892731362,461,POST method Create User,200,OK,Load Configuration 1-28,text,true,,866,243,7,7,https://reqres.in/api/login,461,0,0
1723892731450,416,POST method Create User,200,OK,Load Configuration 1-29,text,true,,866,243,6,6,https://reqres.in/api/login,416,0,0
1723892731579,287,Get Single User,200,OK,Load Configuration 1-32,text,true,,1977,244,6,6,https://reqres.in/api/users/2,157,0,100
1723892731579,158,Get Single User-0,301,Moved Permanently,Load Configuration 1-32,text,true,,787,122,6,6,http://reqres.in/api/users/2,157,0,100
1723892731737,129,Get Single User-1,200,OK,Load Configuration 1-32,text,true,,1190,122,6,6,https://reqres.in/api/users/2,129,0,77
1723892731682,238,Get Single User,200,OK,Load Configuration 1-33,text,true,,1989,244,6,6,https://reqres.in/api/users/2,80,0,42
1723892731682,80,Get Single User-0,301,Moved Permanently,Load Configuration 1-33,text,true,,799,122,6,6,http://reqres.in/api/users/2,80,0,42
1723892731763,157,Get Single User-1,200,OK,Load Configuration 1-33,text,true,,1190,122,6,6,https://reqres.in/api/users/2,157,0,82
1723892731551,466,POST method Create User,200,OK,Load Configuration 1-30,text,true,,866,243,7,7,https://reqres.in/api/login,466,0,0
1723892731781,236,Get Single User,200,OK,Load Configuration 1-34,text,true,,1977,244,7,7,https://reqres.in/api/users/2,85,0,26
1723892731781,85,Get Single User-0,301,Moved Permanently,Load Configuration 1-34,text,true,,787,122,7,7,http://reqres.in/api/users/2,85,0,26
1723892731867,150,Get Single User-1,200,OK,Load Configuration 1-34,text,true,,1190,122,7,7,https://reqres.in/api/users/2,150,0,107
1723892731881,217,Get Single User,200,OK,Load Configuration 1-35,text,true,,1975,244,7,7,https://reqres.in/api/users/2,87,0,42
1723892731881,87,Get Single User-0,301,Moved Permanently,Load Configuration 1-35,text,true,,785,122,7,7,http://reqres.in/api/users/2,87,0,42
1723892731969,129,Get Single User-1,200,OK,Load Configuration 1-35,text,true,,1190,122,7,7,https://reqres.in/api/users/2,129,0,68
1723892731980,178,Get Single User,200,OK,Load Configuration 1-36,text,true,,1973,244,7,7,https://reqres.in/api/users/2,67,0,21
1723892731980,67,Get Single User-0,301,Moved Permanently,Load Configuration 1-36,text,true,,783,122,7,7,http://reqres.in/api/users/2,67,0,21
1723892732047,111,Get Single User-1,200,OK,Load Configuration 1-36,text,true,,1190,122,7,7,https://reqres.in/api/users/2,111,0,60
1723892731776,407,POST method Create User,200,OK,Load Configuration 1-31,text,true,,866,243,8,8,https://reqres.in/api/login,407,0,0
1723892732080,171,Get Single User,200,OK,Load Configuration 1-37,text,true,,1975,244,7,7,https://reqres.in/api/users/2,64,0,24
1723892732080,64,Get Single User-0,301,Moved Permanently,Load Configuration 1-37,text,true,,785,122,7,7,http://reqres.in/api/users/2,64,0,24
1723892732144,107,Get Single User-1,200,OK,Load Configuration 1-37,text,true,,1190,122,7,7,https://reqres.in/api/users/2,107,0,59
1723892731867,458,POST method Create User,200,OK,Load Configuration 1-32,text,true,,866,243,8,8,https://reqres.in/api/login,458,0,0
1723892732180,172,Get Single User,200,OK,Load Configuration 1-38,text,true,,1975,244,7,7,https://reqres.in/api/users/2,71,0,19
1723892732180,71,Get Single User-0,301,Moved Permanently,Load Configuration 1-38,text,true,,785,122,7,7,http://reqres.in/api/users/2,71,0,19
1723892732251,101,Get Single User-1,200,OK,Load Configuration 1-38,text,true,,1190,122,7,7,https://reqres.in/api/users/2,101,0,53
1723892731920,436,POST method Create User,200,OK,Load Configuration 1-33,text,true,,866,243,7,7,https://reqres.in/api/login,436,0,0
1723892732018,420,POST method Create User,200,OK,Load Configuration 1-34,text,true,,870,243,7,7,https://reqres.in/api/login,420,0,0
1723892732281,205,Get Single User,200,OK,Load Configuration 1-39,text,true,,1977,244,7,7,https://reqres.in/api/users/2,60,0,22
1723892732281,60,Get Single User-0,301,Moved Permanently,Load Configuration 1-39,text,true,,787,122,7,7,http://reqres.in/api/users/2,60,0,22
